smiles_a,smiles_e,smiles_p,yeild_classification,yield_regression,type
NC(=O)c1ccc(Br)cc1,C#Cc1ccc([N+](=O)[O-])cc1,NC(=O)c1ccc(-n2cc(-c3ccc([N+](=O)[O-])cc3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1ccc(OC)cc1,COc1ccc(-c2cn(-c3ccc(C(N)=O)cc3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1ccc(Cl)cc1,NC(=O)c1ccc(-n2cc(-c3ccc(Cl)cc3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1ccc(C(=O)OC)cc1,COC(=O)c1ccc(-c2cn(-c3ccc(C(N)=O)cc3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1ccc(F)cc1,NC(=O)c1ccc(-n2cc(-c3ccc(F)cc3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1ccccc1Cl,NC(=O)c1ccc(-n2cc(-c3ccccc3Cl)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1ccncc1,NC(=O)c1ccc(-n2cc(-c3ccncc3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1cccc(N)c1,NC(=O)c1ccc(-n2cc(-c3cccc(N)c3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1ccc(C#N)cc1,N#Cc1ccc(-c2cn(-c3ccc(C(N)=O)cc3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1ccc(C(=O)O)cc1,NC(=O)c1ccc(-n2cc(-c3ccc(C(=O)O)cc3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1ccc(C#C)cc1,C#Cc1ccc(-c2cn(-c3ccc(C(N)=O)cc3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1ccc(CC)cc1,CCc1ccc(-c2cn(-c3ccc(C(N)=O)cc3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1ccsc1,NC(=O)c1ccc(-n2cc(-c3ccsc3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1cccnc1,NC(=O)c1ccc(-n2cc(-c3cccnc3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1ccc(N)cc1,NC(=O)c1ccc(-n2cc(-c3ccc(N)cc3)nn2)cc1,0,0,N
NC(=O)c1ccc(Br)cc1,C#CCC(=O)OC,COC(=O)Cc1cn(-c2ccc(C(N)=O)cc2)nn1,0,0,N
NC(=O)c1ccc(Br)cc1,C#Cc1cccc([N+](=O)[O-])c1,NC(=O)c1ccc(-n2cc(-c3cccc([N+](=O)[O-])c3)nn2)cc1,0,0,N
Fc1ccc(Br)c(Cl)c1,C#Cc1ccc(OC)cc1,COc1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,0,0,N
Fc1ccc(Br)c(Cl)c1,C#Cc1ccc(C#C)cc1,C#Cc1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,0,0,N
Fc1ccc(Br)c(Cl)c1,C#Cc1ccc(CC)cc1,CCc1ccc(-c2cn(-c3ccc(F)cc3Cl)nn2)cc1,0,0,N
Fc1ccc(Br)c(Cl)c1,C#CCC(=O)OC,COC(=O)Cc1cn(-c2ccc(F)cc2Cl)nn1,0,0,N
COc1ccc(Br)cc1,C#Cc1ccc(OC)cc1,COc1ccc(-c2cn(-c3ccc(OC)cc3)nn2)cc1,0,0,N
COc1ccc(Br)cc1,C#Cc1ccc(Cl)cc1,COc1ccc(-n2cc(-c3ccc(Cl)cc3)nn2)cc1,0,0,N
COc1ccc(Br)cc1,C#Cc1ccc(C(=O)OC)cc1,COC(=O)c1ccc(-c2cn(-c3ccc(OC)cc3)nn2)cc1,0,0,N
COc1ccc(Br)cc1,C#Cc1ccc(F)cc1,COc1ccc(-n2cc(-c3ccc(F)cc3)nn2)cc1,0,0,N
COc1ccc(Br)cc1,C#Cc1ccccc1Cl,COc1ccc(-n2cc(-c3ccccc3Cl)nn2)cc1,0,0,N
COc1ccc(Br)cc1,C#Cc1ccncc1,COc1ccc(-n2cc(-c3ccncc3)nn2)cc1,0,0,N
COc1ccc(Br)cc1,C#Cc1ccc(C#N)cc1,COc1ccc(-n2cc(-c3ccc(C#N)cc3)nn2)cc1,0,0,N
COc1ccc(Br)cc1,C#Cc1ccc(C#C)cc1,C#Cc1ccc(-c2cn(-c3ccc(OC)cc3)nn2)cc1,0,0,N
COc1ccc(Br)cc1,C#Cc1ccc(CC)cc1,CCc1ccc(-c2cn(-c3ccc(OC)cc3)nn2)cc1,0,0,N
COc1ccc(Br)cc1,C#Cc1ccsc1,COc1ccc(-n2cc(-c3ccsc3)nn2)cc1,0,0,N
COc1ccc(Br)cc1,C#Cc1cccnc1,COc1ccc(-n2cc(-c3cccnc3)nn2)cc1,0,0,N
COc1ccc(Br)cc1,C#Cc1ccc(N)cc1,COc1ccc(-n2cc(-c3ccc(N)cc3)nn2)cc1,0,0,N
COc1ccc(Br)cc1,C#CCC(=O)OC,COC(=O)Cc1cn(-c2ccc(OC)cc2)nn1,0,0,N
